state_type,n_qubits,replica,D_n,metric,backend,n_shots,execution_time,timestamp,job_id,transpiled_depth
GHZ,4,0,0.04248046875,D_leak,ibm_fez,8192,11.726113,2025-12-28T18:08:53.116068,d58m86bht8fs73a3te70,9.0
GHZ,4,1,0.04345703125,D_leak,ibm_fez,8192,9.303606,2025-12-28T18:09:02.422655,d58m897p3tbc73arbov0,9.0
GHZ,4,2,0.046875,D_leak,ibm_fez,8192,8.071771,2025-12-28T18:09:10.497285,d58m8bgnsj9s73b5rmfg,9.0
GHZ,10,0,0.9775390625,D_leak,ibm_fez,8192,7.525311,2025-12-28T18:09:18.026180,d58m8dnp3tbc73arbp3g,49.0
GHZ,10,1,0.26416015625,D_leak,ibm_fez,8192,7.475041,2025-12-28T18:09:25.505253,d58m8f8nsj9s73b5rmjg,61.0
GHZ,10,2,0.2340087890625,D_leak,ibm_fez,8192,7.992617,2025-12-28T18:09:33.502225,d58m8h9smlfc739jpe40,51.0
GHZ,18,0,0.55712890625,D_leak,ibm_fez,8192,7.964433,2025-12-28T18:09:41.471270,d58m8j9smlfc739jpe6g,105.0
GHZ,18,1,0.52685546875,D_leak,ibm_fez,8192,7.327362,2025-12-28T18:09:48.806141,d58m8l8nsj9s73b5rmpg,113.0
GHZ,18,2,0.556396484375,D_leak,ibm_fez,8192,59.041679,2025-12-28T18:10:47.857139,d58m8n7p3tbc73arbpd0,107.0
GHZ,27,0,0.7806396484375,D_leak,ibm_fez,8192,8.505421,2025-12-28T18:10:56.373671,d58m95rht8fs73a3tf5g,159.0
GHZ,27,1,0.841064453125,D_leak,ibm_fez,8192,9.200003,2025-12-28T18:11:05.650239,d58m983ht8fs73a3tf80,173.0
GHZ,27,2,0.803466796875,D_leak,ibm_fez,8192,17.070623,2025-12-28T18:11:22.744563,d58m9afp3tbc73arbpv0,149.0
W,3,0,0.0386962890625,D_leak,ibm_fez,8192,8.276175,2025-12-28T18:11:31.049052,d58m9ehsmlfc739jpev0,29.0
W,3,1,0.039794921875,D_leak,ibm_fez,8192,8.329582,2025-12-28T18:11:39.406494,d58m9gnp3tbc73arbq50,26.0
